step,p1.sign,p1.position,p2.sign,p2.position,p3.sign,p3.position,weight,probability
4,+,g5.lower_out>g7.lower_in,+,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,(0.0853765877365274+0j),0.007289161733532961
4,+,g5.lower_out>g7.lower_in,-,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,-0.08537658773652743j,0.007289161733532965
4,-,g5.upper_out>g7.upper_in,+,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,-0.25612976320958225j,0.06560245560179667
4,-,g5.upper_out>g7.upper_in,-,g6.lower_out>g8.lower_in,+,g4.upper_in>g4.upper_out,(0.2561297632095822+0j),0.06560245560179664
4,-,g5.upper_out>g7.upper_in,+,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,-0.06862976320958221j,0.004710044398203324
4,-,g5.upper_out>g7.upper_in,-,g6.upper_out>g8.upper_in,+,g4.upper_in>g4.upper_out,(-0.06862976320958222+0j),0.004710044398203325
4,-,g5.upper_out>g7.upper_in,+,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,0.03962341226347256j,0.0015700147994011076
4,-,g5.upper_out>g7.upper_in,-,g6.upper_out>g8.upper_in,+,g4.lower_in>g4.lower_out,(-0.03962341226347256+0j),0.0015700147994011076
4,-,g5.upper_out>g7.upper_in,+,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,-0.1478765877365274j,0.021867485200598884
4,-,g5.upper_out>g7.upper_in,-,g6.lower_out>g8.lower_in,+,g4.lower_in>g4.lower_out,(-0.1478765877365274-0j),0.021867485200598884
5,+,g7.upper_in>g7.upper_out,+,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,(0.10836718867001198+0j),0.011743447580241973
5,+,g7.upper_in>g7.upper_out,-,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,0.014266811044931655j,0.00020354189739178386
5,+,g7.upper_in>g7.upper_out,+,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,(-0.0123735396161216+0j),0.00015310448263173066
5,+,g7.upper_in>g7.upper_out,-,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,0.0939863644281232j,0.008833436698415983
5,-,g7.upper_in>g7.upper_out,+,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,0.40443185398988696j,0.16356512452169725
5,-,g7.upper_in>g7.upper_out,-,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,(-0.05324446368166967+0j),0.0028349729127486404
5,-,g7.upper_in>g7.upper_out,+,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,-0.04617867851683215j,0.002132470349560935
5,-,g7.upper_in>g7.upper_out,-,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,(-0.35076188726443985+0j),0.12303390155731161
5,+,g7.lower_in>g7.lower_out,+,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,(0.5340026155505733+0j),0.28515879341485334
5,+,g7.lower_in>g7.lower_out,-,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,0.07030277805543501j,0.004942480602311755
5,+,g7.lower_in>g7.lower_out,+,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,(-0.004996264604463924+0j),2.4962659997819047e-05
5,+,g7.lower_in>g7.lower_out,-,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,0.037950397417619755j,0.00144023266415528
5,-,g7.lower_in>g7.lower_out,+,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,-0.14308556959288354j,0.02047348022571992
5,-,g7.lower_in>g7.lower_out,-,g8.lower_in>g8.lower_out,+,g4.lower_in>g4.lower_out,(0.018837572605618292+0j),0.0003548541416719407
5,-,g7.lower_in>g7.lower_out,+,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,0.0013387450659383127j,1.792238351574177e-06
5,-,g7.lower_in>g7.lower_out,-,g8.upper_in>g8.upper_out,+,g4.lower_in>g4.lower_out,(0.010168778340491402+0j),0.00010340405293804708
5,+,g7.upper_in>g7.upper_out,+,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,(0.01351480803219685+0j),0.0001826500361471325
5,+,g7.upper_in>g7.upper_out,-,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,-0.10265515869325009j,0.01053808160633636
5,+,g7.upper_in>g7.upper_out,+,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,(-0.04252115897830651+0j),0.0018080489608584163
5,+,g7.upper_in>g7.upper_out,-,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,-0.00559801677980477j,3.133779186697577e-05
5,-,g7.upper_in>g7.upper_out,+,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,0.05043795023069862j,0.0025439868234744313
5,-,g7.upper_in>g7.upper_out,-,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,(0.38311426790225506+0j),0.14677654227028086
5,-,g7.upper_in>g7.upper_out,+,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,-0.15869112570375335j,0.025182873377124448
5,-,g7.upper_in>g7.upper_out,-,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,(0.020892083043854547+0j),0.0004364791339113147
5,+,g7.lower_in>g7.lower_out,+,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,(0.020892083043854537+0j),0.00043647913391131425
5,+,g7.lower_in>g7.lower_out,-,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,-0.15869112570375338j,0.025182873377124455
5,+,g7.lower_in>g7.lower_out,+,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,(0.38311426790225506+0j),0.14677654227028086
5,+,g7.lower_in>g7.lower_out,-,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,0.05043795023069862j,0.0025439868234744313
5,-,g7.lower_in>g7.lower_out,+,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,-0.005598016779804763j,3.133779186697569e-05
5,-,g7.lower_in>g7.lower_out,-,g8.upper_in>g8.upper_out,+,g4.upper_in>g4.upper_out,(-0.04252115897830655+0j),0.0018080489608584198
5,-,g7.lower_in>g7.lower_out,+,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,-0.1026551586932501j,0.010538081606336363
5,-,g7.lower_in>g7.lower_out,-,g8.lower_in>g8.lower_out,+,g4.upper_in>g4.upper_out,(0.013514808032196835+0j),0.0001826500361471321
